cik,date,link
1440292,2015-04-30,https://www.sec.gov/Archives/edgar/data/1440292/000114420415026465/v408869_def14a.htm
1440292,2014-05-29,https://www.sec.gov/Archives/edgar/data/1440292/000114420414034217/v379971_def14a.htm
1440292,2013-04-26,https://www.sec.gov/Archives/edgar/data/1440292/000114420413024333/v342794_def14a.htm
1096376,2016-03-30,https://www.sec.gov/Archives/edgar/data/1096376/000119312516523577/d125940ddef14a.htm
1096376,2015-04-01,https://www.sec.gov/Archives/edgar/data/1096376/000119312515115914/d879087ddef14a.htm
1096376,2014-04-02,https://www.sec.gov/Archives/edgar/data/1096376/000119312514128198/d664314ddef14a.htm
1096376,2013-04-25,https://www.sec.gov/Archives/edgar/data/1096376/000119312513174160/d489813ddef14a.htm
1045425,2016-04-14,https://www.sec.gov/Archives/edgar/data/1045425/000119312516541428/d102997ddef14a.htm
1045425,2015-04-13,https://www.sec.gov/Archives/edgar/data/1045425/000119312515127614/d902459ddef14a.htm
1045425,2014-04-01,https://www.sec.gov/Archives/edgar/data/1045425/000119312514124623/d699927ddef14a.htm
1045425,2013-03-29,https://www.sec.gov/Archives/edgar/data/1045425/000119312513132744/d508479ddef14a.htm
826154,2016-03-21,https://www.sec.gov/Archives/edgar/data/826154/000082615416000117/proxystatement2016.htm
826154,2015-03-19,https://www.sec.gov/Archives/edgar/data/826154/000082615415000026/proxystatement2015.htm
826154,2014-03-24,https://www.sec.gov/Archives/edgar/data/826154/000119312514112148/d693390ddef14a.htm
826154,2013-03-26,https://www.sec.gov/Archives/edgar/data/826154/000119312513125876/d503498ddef14a.htm
1564902,2016-04-29,https://www.sec.gov/Archives/edgar/data/1564902/000119312516565862/d29993ddef14a.htm
1564902,2015-04-28,https://www.sec.gov/Archives/edgar/data/1564902/000119312515152923/d849401ddef14a.htm
1564902,2014-04-17,https://www.sec.gov/Archives/edgar/data/1564902/000119312514147681/d703966ddef14a.htm
1361983,2016-03-18,https://www.sec.gov/Archives/edgar/data/1361983/000119312516510401/d138292ddef14a.htm
1361983,2015-03-24,https://www.sec.gov/Archives/edgar/data/1361983/000119312515103241/d853824ddef14a.htm
1361983,2014-03-28,https://www.sec.gov/Archives/edgar/data/1361983/000119312514121392/d699235ddef14a.htm
1361983,2013-04-02,https://www.sec.gov/Archives/edgar/data/1361983/000119312513137771/d511853ddef14a.htm
